Date	Configuration	Customer Postcode	Store Postcode	Retail Price	Screen Size (Inches)	Battery Life (Hours)	RAM (GB)	Processor Speeds (GHz)	Integrated Wireless?	HD Size (GB)	Bundled Applications?	OS X Customer	OS Y Customer	OS X Store	OS Y Store	CustomerStoreDistance
2008/01/01 00:01:19	163	EC4V 5BH	SE1 2BN	455	15	5	1	2	Yes	80	Yes	532041	180995	534057	179682	2405.873022
2008/01/01 00:02:52	320	SW4 0JL	SW12 9HD	545	15	6	1	2	No	300	No	529240	175537	528739	173080	2507.558574
2008/01/01 00:04:18	23	EC3V 1LR	E2 0RY	515	15	4	1	2	Yes	300	Yes	533095	181047	535652	182961	3194.001409
2008/01/01 00:04:40	169	SW1P 3AU	SE1 2BN	395	15	5	1	2	No	40	Yes	529902	179641	534057	179682	4155.202281
2008/01/01 00:06:04	365	EC4V 4EG	SW1V 4QQ	585	15	6	2	2	No	120	Yes	531684	180948	528924	178440	3729.298057
2008/01/01 00:12:26	309	W1B 5PX	SW1V 4QQ	555	15	6	1	2	Yes	120	Yes	529207	180969	528924	178440	2544.784863
2008/01/01 00:14:32	75	SE25 4LX	SE8 3JD	465	15	4	2	2	No	80	Yes	534575	168236	537175	177885	9993.157709
2008/01/01 00:17:13	346	N7 6AR	E2 0RY	450	15	6	2	1.5	No	40	No	530461	186176	535652	182961	6105.9566
2008/01/01 00:24:08	70	W3 7JT	SW18 1NN	455	15	4	2	2	Yes	120	No	520898	180071	525155	175180	6484.129086
2008/01/01 00:56:50	351	SW8 1RB	SW1V 4QQ	620	15	6	2	1.5	No	300	Yes	530298	177435	528924	178440	1702.322237
2008/01/01 01:00:49	209	SE26 5HB	CR7 8LE	465	15	5	2	2	Yes	40	Yes	535838	171458	532714	168302	4440.688235
2008/01/01 01:03:25	359	W1T 1DG	NW5 2QH	665	15	6	2	2	Yes	300	Yes	529584	181554	529248	185213	3674.39478
2008/01/01 01:05:10	300	TW9 3AH	W4 3PH	440	15	6	1	1.5	No	80	No	518891	177662	519585	177640	694.3486156
2008/01/01 01:07:08	363	N1 9DU	SW1V 4QQ	565	15	6	2	2	No	80	Yes	530451	183067	528924	178440	4872.459133
2008/01/01 01:15:42	22	N1 8LU	E2 0RY	405	15	4	1	2	Yes	120	No	531957	183906	535652	182961	3813.928421
2008/01/01 01:18:44	53	E14 0BB	SE8 3JD	480	15	4	2	1.5	Yes	120	Yes	538189	180731	537175	177885	3021.243453
2008/01/01 01:29:40	310	WC1X 0AE	SW1P 3AU	505	15	6	1	2	Yes	120	No	531065	182190	529902	179641	2801.779791
2008/01/01 01:30:52	314	N1 9BL	SE1 2BN	425	15	6	1	2	No	40	No	530520	183119	534057	179682	4931.869625
2008/01/01 01:32:30	320	WC2E 8RF	SE1 2BN	545	15	6	1	2	No	300	No	530351	180907	534057	179682	3903.211626
2008/01/01 01:32:55	299	SE1 3XB	SW1P 3AU	490	15	6	1	1.5	No	80	Yes	533256	179711	529902	179641	3354.730392
2008/01/01 01:40:35	205	EC3N 2AE	SE1 2BN	480	15	5	2	1.5	No	120	Yes	533409	180902	534057	179682	1381.413769
2008/01/01 01:42:26	216	E6 3BD	E2 0RY	535	15	5	2	2	Yes	300	No	541936	183350	535652	182961	6296.028669
2008/01/01 01:42:54	203	W1T 1HH	NW5 2QH	460	15	5	2	1.5	No	80	Yes	529654	181374	529248	185213	3860.408916
